set_code,name,population,index_value,eco_level
528,עוזייר,3047,-1.679,1
539,רומאנה,1129,-1.566,2
997,רומת הייב,1882,-1.237,2
993,חמאם,1410,-0.738,3
1346,תרבין א-צאנע (יישוב),437,-3.103,1
1360,מולדה,295,-2.856,1
1358,אום בטין,3080,-2.508,1
1359,אל סייד,3384,-2.288,1
1343,מכחול,395,-2.205,1
1367,כחלה,145,-1.366,2
1349,דריג'את,1065,-1.191,2
360,"גבעת ניל""י",733,0.859,7
679,אביאל,817,1.226,8
773,עמיקם,707,1.297,8
1366,נווה,1066,-1.617,1
1085, **כרם שלום,119,-1.228,2
1363,בני נצרים,544,-0.838,3
399,בארי,984,-0.488,3
1364,שלומית,201,-0.465,3
413,צאלים,441,-0.296,4
403,אורים,470,-0.232,4
713,רעים,403,-0.002,5
695,מגן,551,0.038,5
676,עין השלושה,300,0.085,5
69,ניר עוז,395,0.188,6
840,כיסופים,235,0.233,6
402,ניר יצחק,628,0.274,6
1311,אבשלום,258,0.301,6
1239,חולית,147,0.354,6
1136,צוחר,419,0.496,6
352,גבולות,299,0.681,7
1231,פרי גן,226,0.761,7
602,נירים,357,0.809,7
1241,דקל,311,0.822,7
829,מבטחים,406,0.852,7
1223,שדי אברהם,341,0.897,7
1232,יבול,350,0.997,8
1046,אוהד,404,1.055,8
1227,יתד,326,1.055,8
1238,סופה,234,1.091,8
1051,תלמי אליהו,303,1.15,8
318,עמיעוז,196,1.226,8
1240,עין הבשור,1127,1.306,8
1237,תלמי יוסף,304,1.315,8
916,ישע,368,1.385,8
1058,שדה ניצן,318,1.631,9
2006,כנות,355,-2.378,1
739,שדה עוזיהו,1465,-0.113,5
2011,ינון,1116,0.275,6
817,עזריקם,1377,0.423,6
763,שתולים,1975,0.431,6
793,גבעתי,955,0.478,6
756,בית עזרא,1090,0.742,7
700,חצב,1404,0.742,7
406,חצור-אשדוד,545,0.923,7
727,תלמי יחיאל,978,1.034,8
772,אמונים,934,1.073,8
1157,אחווה,159,1.085,8
1149,עזר,837,1.093,8
320,כפר ורבורג,1130,1.176,8
690,כפר אחים,795,1.262,8
2012,אורות,498,1.27,8
827,נווה מבטח,642,1.285,8
819,אביגדור,763,1.316,8
553,ניר בנים,705,1.344,8
155,באר טוביה,1030,1.344,8
593,ערוגות,1124,1.395,8
234,ביצרון,1221,1.584,8
163,תימורים,775,1.59,8
512,כפר מצר,2595,-1.08,2
475,דחי,636,-0.956,2
523,ניין,1766,-0.886,2
526,סולם,2467,-0.854,3
1265,שומרייה,623,-0.811,3
397,חצרים,786,-0.279,4
2060,ברוש,439,0.541,7
2061,תדהר,534,0.615,7
1198,כרמים,391,0.617,7
396,נבטים,825,0.621,7
394,שובל,640,0.645,7
2023,להב,469,0.76,7
2062,תאשור,411,0.906,7
395,משמר הנגב,868,1.011,8
849,דבירה,797,1.036,8
1344,גבעות בר,815,1.326,8
598,בית קמה,1286,1.48,8
144,גן שלמה,518,0.853,7
147,גבעת ברנר,2603,1.214,8
562,בית אלעזרי,1494,1.218,8
615,קדרון,1560,1.57,8
685,בניה,792,1.682,9
196,גיבתון,327,1.696,9
1072,גן הדרום,563,1.258,8
555,שדמה,604,1.377,8
765,משגב דב,666,1.6,8
857,כפר אביב,804,1.65,9
731,מישר,804,1.739,9
591,עשרת,970,1.771,9
764,כפר מרדכי,655,1.853,9
4005,חספין,1739,-0.791,3
4006,קשת,763,-0.633,3
4014,נטור,567,-0.567,3
4017,אלוני הבשן,368,-0.519,3
4304,נוב,858,-0.345,4
4019,מיצר,211,-0.242,4
4007,יונתן,601,-0.127,5
4701,רמת מגשימים,637,0.114,5
4011,אבני איתן,633,0.116,5
4013,אורטל,321,0.157,6
4024,קלע,224,0.234,6
4003,אל-רום,338,0.419,6
4015,בני יהודה,1040,0.438,6
4004,כפר חרוב,357,0.536,7
4503,עין זיוון,280,0.55,7
4012,אניעם,503,0.589,7
4026,חד-נס,827,0.696,7
4101,מרום גולן,675,0.741,7
4204,מבוא חמה,344,0.755,7
4002,אלי-עד,350,0.814,7
4021,גבעת יואב,662,0.832,7
4551,נאות גולן,534,0.833,7
4022,גשור,264,0.908,7
4301,אפיק,277,0.931,7
4009,שעל,256,1.072,8
4028,כנף,419,1.112,8
4025,קדמת צבי,359,1.208,8
4702,רמות,489,1.235,8
4303,"נווה אטי""ב",124,1.376,8
4008,מעלה גמלא,441,1.545,8
3653,מעלה עמוס,384,-1.103,2
3794,בת עין,1226,-1.011,2
3754,אספר,583,-0.902,2
3488,כפר עציון,1071,-0.736,3
3561,מגדל עוז,439,-0.642,3
3766,כרמי צור,1036,-0.167,5
3563,תקוע,3495,-0.031,5
3726,נוקדים,1937,0.065,5
3602,ראש צורים,915,0.19,6
3604,אלון שבות,3201,0.205,6
3618,אלעזר,2577,0.342,6
3725,נווה דניאל,2275,0.515,7
3781,קדר,1490,0.549,7
3603,הר גילה,1505,0.864,7
856,שעלבים,1764,-0.736,3
711,עזריה,1193,0.396,6
759,יציץ,770,0.431,6
838,פדיה,806,0.519,7
158,נען,1532,0.59,7
370,גזר,273,0.645,7
839,פתחיה,890,0.669,7
757,מצליח,1302,0.722,7
64,"יד רמב""ם",1044,0.723,7
828,ישרש,922,0.903,7
301,בית עוזיאל,599,0.952,7
1333,נוף איילון,2129,0.99,8
435,נצר סרני,718,1.065,8
862,גני יוחנן,618,1.129,8
1050,בית חשמונאי,2171,1.444,8
670,משמר איילון,514,1.533,8
735,רמות מאיר,770,1.536,8
743,כפר שמואל,864,1.662,9
610,סתרייה,1022,1.665,9
2010,כפר בן נון,647,1.685,9
160,חולדה,913,1.752,9
177,"כפר ביל""ו",1254,1.793,9
563,משמר דוד,700,1.874,9
1103,גני הדר,278,1.951,9
1264,כרמי יוסף,1674,2.306,9
156,עיינות,340,-1.624,1
597,פלמחים,604,1.245,8
159,בית חנן,573,1.443,8
311,גן שורק,677,1.476,8
853,גאליה,992,1.506,8
582,כפר הנגיד,1223,1.706,9
174,נטעים,593,1.856,9
202,בית עובד,309,1.914,9
1336,אירוס,211,2.269,9
718,ירחיב,956,0.555,7
841,אלישמע,1212,0.597,7
184,רמת הכובש,1049,0.624,7
686,נווה ימין,1162,0.812,7
705,נחשונים,332,0.826,7
716,אייל,482,0.955,7
808,ניר אליהו,505,0.961,7
355,חורשים,311,1.057,8
870,גבעת השלושה,783,1.162,8
871,עינת,786,1.282,8
1148,צור נתן,296,1.344,8
128,גת רימון,300,1.39,8
717,חגור,1135,1.424,8
2015,שדי חמד,1021,1.471,8
249,כפר סירקין,1333,1.473,8
1345,צור יצחק,4246,1.482,8
1315,מתן,3613,1.501,8
230,מעש,838,1.591,8
98,"כפר מל""ל",328,1.666,9
858,נווה ירק,1353,1.684,9
206,רמות השבים,1651,1.689,9
284,שדה ורבורג,1483,1.746,9
218,גני עם,240,1.756,9
207,"גבעת ח""ן",362,1.759,9
198,צופית,1302,1.805,9
2035,עדנים,479,1.815,9
239,גן חיים,816,1.828,9
722,מגשימים,1064,1.829,9
183,ירקונה,399,1.995,9
1236,נירית,1169,2.213,9
547,טמרה (יזרעאל),1513,-1.201,2
635,מוקייבלה,3719,-1.052,2
497,טייבה (בעמק),1751,-1.036,2
524,נאעורה,2131,-0.892,2
86,גבע,625,-0.616,3
95,בית אלפא,853,-0.552,3
636,צנדלה,1572,-0.5,3
452,יזרעאל,566,-0.368,4
89,עין חרוד (איחוד),529,-0.349,4
145,גדיש,399,-0.251,4
113,אדירים,267,0.011,5
1110,חבר,429,0.234,6
82,עין חרוד (מאוחד),735,0.249,6
1155,מגן שאול,614,0.253,6
2052,אביטל,499,0.319,6
164,מלאה,390,0.333,6
84,תל יוסף,533,0.399,6
90,חפצי-בה,519,0.403,6
1108,אומן,327,0.436,6
2053,פרזון,320,0.526,7
442,גדעונה,411,0.528,7
2054,מיטב,461,0.622,7
165,ניר יפה,678,0.635,7
141,ברק,422,0.661,7
242,בית השיטה,1202,0.755,7
269,מולדת,979,0.88,7
1274,גן נר,2643,0.882,7
146,דבורה,227,0.928,7
1069,רם-און,996,1.108,8
339,רמת צבי,592,1.341,8
85,כפר יחזקאל,1051,1.365,8
667,ברעם,579,-0.667,3
77,איילת השחר,1456,-0.302,4
578,סאסא,398,-0.176,5
623,יראון,386,0.031,5
76,כפר גלעדי,644,0.134,5
35,גדות,406,0.345,6
596,מלכייה,442,0.373,6
443,כפר הנשיא,824,0.407,6
347,מנרה,224,0.435,6
408,נאות מרדכי,534,0.449,6
308,מחניים,678,0.504,7
345,כפר סאלד,589,0.533,7
378,משגב עם,316,0.552,7
852,גונן,329,0.589,7
253,חולתה,575,0.589,7
366,שמיר,889,0.602,7
302,דפנה,896,0.629,7
319,עמיר,524,0.655,7
357,כפר בלום,666,0.663,7
303,דן,650,0.674,7
380,להבות הבשן,854,0.676,7
453,יפתח,505,0.754,7
385,עמיעד,421,0.767,7
416,מעיין ברוך,735,0.781,7
356,הגושרים,707,0.832,7
329,שדה נחמיה,1097,0.837,7
1211,קדרים,189,1.011,8
1132,שניר,544,1.196,8
1322,הודיות,293,-2.297,1
585,לביא,640,-1.109,2
307,הזורעים,915,-0.381,4
786,כפר זיתים,758,-0.188,5
1162,בית רימון,623,0.159,6
365,בית קשת,591,0.268,6
49,אילנייה,484,0.558,7
721,שדה אילן,541,0.691,7
701,ארבל,673,0.95,7
255,כפר חיטים,666,0.999,8
1190,מצפה נטופה,851,1.033,8
306,שדמות דבורה,656,1.078,8
292,שרונה,581,1.092,8
388,כפר קיש,520,1.119,8
1293,גבעת אבני,2082,1.163,8
1258,מסד,354,1.293,8
58,מצפה,144,1.325,8
1262,צוקים,289,0.526,7
1176,ספיר,374,0.567,7
806,עין יהב,665,0.66,7
13,חצבה,566,0.676,7
1175,עידן,360,0.936,7
1151,פארן,435,1.217,8
1150,צופר,394,1.275,8
3723,פני חבר,432,-1.077,2
3724,נגוהות,288,-0.49,3
3748,עתניאל,909,-0.457,3
3657,מעון,502,-0.413,4
3756,סוסיה,1041,-0.41,4
3719,תלם,336,-0.4,4
3764,חגי,535,-0.234,4
3745,מצדות יהודה,467,-0.031,5
3656,כרמל,407,0.013,5
3784,שמעה,538,0.016,5
3759,אדורה,404,0.091,5
3743,טנא,756,0.356,6
3777,סנסנה,334,0.458,6
3722,אשכולות,494,0.717,7
890,כפר הנוער הדתי,258,-2.403,1
990,ראס עלי,560,-1.921,1
1321,ח'ואלד,458,-1.378,2
652,אבטין,2689,-1.359,2
882,אורנים,177,-0.632,3
178,רמת יוחנן,929,-0.362,4
96,יגור,1508,-0.358,4
237,שער העמקים,644,0.334,6
889,כפר חסידים ב',256,0.53,7
254,כפר המכבי,371,0.721,7
112,כפר חסידים א',562,0.785,7
278,אושה,462,0.873,7
220,כפר ביאליק,565,1.327,8
1284,נופית,2726,2.132,9
1197,נאות סמדר,210,-0.93,2
1156,סמר,274,-0.801,3
1248,אליפז,129,-0.732,3
866,יטבתה,657,-0.58,3
1255,לוטן,181,-0.304,4
1052,קטורה,485,-0.256,4
1279,**נווה חריף,110,-0.078,5
1126,אילות,322,0.412,6
1266,שחרות,130,0.48,6
1129,גרופית,262,0.583,7
21,באר אורה,617,0.84,7
1158,יהל,182,0.998,8
848,בית רבן,1057,-1.071,2
334,קבוצת יבנה,935,-1.01,2
1094,כרם יבנה (ישיבה),541,-0.813,3
720,ניר גלים,1395,0.136,5
760,בן זכאי,1083,0.137,5
592,בני דרום,671,0.507,7
571,בית גמליאל,953,0.985,8
1084,בן שמן (כפר נוער),625,-1.621,1
2038,ברקת,1867,-0.587,3
450,בארות יצחק,415,-0.499,3
1141,מבוא מודיעים,265,-0.372,4
804,אחיסמך,1349,0.103,5
449,נחלים,1690,0.188,6
604,בית עריף,1112,0.384,6
618,חדיד,866,0.506,7
257,נופך,544,0.552,7
663,טירת יהודה,1183,0.553,7
745,גמזו,1165,0.666,7
802,"גבעת כ""ח",859,0.684,7
784,בית נחמיה,887,1.288,8
616,רינתיה,1134,1.307,8
863,גינתון,884,1.341,8
1310,לפיד,2551,1.583,8
1165,שילת,679,1.618,8
673,כפר טרומן,882,1.669,9
448,בני עטרות,995,1.719,9
2013,בן שמן (מושב),855,1.742,9
606,מזור,1300,1.753,9
1166,כפר רות,208,1.809,9
707,כפר דניאל,726,1.844,9
107,כפר סילבר,227,-1.108,2
820,חלץ,449,-0.288,4
746,ברכיה,1199,-0.228,4
351,ניצן,1853,-0.026,5
1419,ניצן ב',1349,0.095,5
747,בית שקמה,827,0.144,5
726,הודייה,488,0.246,6
791,משען,1005,0.327,6
1376,באר גנים,368,0.363,6
359,ניצנים,341,0.685,7
573,מבקיעים,395,0.74,7
342,גברעם,372,0.793,7
768,כרמייה,590,0.909,7
